iter	Passed	Remaining
259	772	2198
260	775	2194
261	778	2191
262	780	2188
263	783	2185
264	787	2182
265	789	2179
266	792	2175
267	795	2171
268	797	2168
269	800	2164
270	803	2161
271	806	2157
272	808	2154
273	811	2150
274	814	2147
275	817	2143
276	819	2140
277	822	2136
278	826	2135
279	828	2131
280	831	2127
281	834	2124
282	838	2123
283	840	2119
284	843	2116
285	846	2113
286	849	2109
287	851	2106
288	854	2102
289	857	2098
290	860	2095
291	862	2091
292	865	2088
293	869	2087
294	872	2084
295	875	2081
296	877	2078
297	880	2074
298	883	2071
299	886	2068
300	889	2065
301	892	2062
302	895	2059
303	898	2056
304	902	2056
305	908	2059
306	912	2060
307	915	2057
308	918	2053
309	921	2050
310	923	2046
311	926	2043
312	929	2040
313	932	2037
314	935	2033
315	938	2030
316	940	2027
317	943	2023
318	946	2020
319	949	2016
320	951	2013
321	955	2012
322	958	2008
323	960	2004
324	963	2000
325	966	1997
326	968	1994
327	971	1990
328	974	1987
329	977	1983
330	979	1980
331	982	1976
332	985	1973
333	988	1970
334	990	1967
335	993	1963
336	996	1960
337	999	1957
338	1001	1953
339	1004	1950
340	1007	1947
341	1010	1943
342	1012	1940
343	1015	1936
344	1018	1933
345	1021	1930
346	1024	1927
347	1026	1923
348	1029	1920
349	1032	1917
350	1035	1914
351	1038	1910
352	1040	1907
353	1043	1904
354	1046	1901
355	1049	1897
356	1051	1894
357	1054	1890
358	1057	1887
359	1060	1884
360	1063	1881
361	1065	1878
362	1068	1874
363	1071	1871
364	1073	1868
365	1076	1864
366	1079	1861
367	1081	1857
368	1084	1854
369	1087	1851
370	1089	1847
371	1092	1844
372	1095	1841
373	1101	1844
374	1105	1843
375	1109	1841
376	1112	1838
377	1115	1834
378	1117	1831
379	1120	1828
380	1123	1825
381	1126	1822
382	1129	1819
383	1132	1816
384	1134	1813
385	1137	1810
386	1140	1806
387	1143	1803
388	1146	1800
389	1149	1797
390	1152	1794
391	1154	1791
392	1157	1788
393	1160	1784
394	1163	1781
395	1165	1778
396	1168	1775
397	1171	1772
398	1174	1769
399	1177	1765
400	1180	1762
401	1182	1759
402	1185	1756
403	1188	1753
404	1191	1750
405	1194	1747
406	1197	1744
407	1199	1740
408	1202	1737
409	1205	1734
410	1208	1731
411	1210	1728
412	1213	1725
413	1216	1722
414	1219	1719
415	1222	1716
416	1225	1712
417	1228	1709
418	1230	1706
419	1233	1703
420	1236	1700
421	1239	1697
422	1242	1694
423	1245	1691
424	1247	1688
425	1250	1685
426	1253	1682
427	1256	1679
428	1259	1676
429	1262	1673
430	1265	1670
431	1267	1666
432	1272	1666
433	1275	1663
434	1278	1660
435	1281	1657
436	1284	1654
437	1286	1651
438	1289	1648
439	1297	1650
440	1308	1658
441	1318	1663
442	1320	1660
443	1323	1657
444	1326	1654
445	1329	1651
446	1331	1647
447	1334	1644
448	1337	1641
449	1340	1638
450	1343	1635
451	1346	1632
452	1349	1629
453	1351	1625
454	1354	1622
455	1357	1619
456	1360	1616
457	1363	1613
458	1365	1609
459	1368	1606
460	1371	1603
461	1374	1600
462	1377	1597
463	1379	1593
464	1382	1590
465	1385	1587
466	1388	1584
467	1391	1581
468	1393	1578
469	1396	1575
470	1399	1572
471	1402	1569
472	1405	1566
473	1408	1562
474	1411	1559
475	1414	1556
476	1417	1553
477	1419	1550
478	1422	1547
479	1425	1544
480	1428	1541
481	1431	1537
482	1433	1534
483	1436	1531
484	1439	1528
485	1442	1525
486	1445	1522
487	1447	1518
488	1450	1515
489	1453	1512
490	1455	1509
491	1458	1505
492	1461	1502
493	1464	1499
494	1467	1496
495	1469	1493
496	1472	1489
497	1474	1486
498	1477	1483
499	1480	1480
500	1483	1477
501	1486	1474
502	1489	1471
503	1492	1468
504	1494	1465
505	1497	1462
506	1500	1459
507	1506	1458
508	1510	1457
509	1515	1455
510	1520	1455
511	1523	1452
512	1526	1449
513	1529	1446
514	1532	1443
515	1534	1439
516	1537	1436
517	1540	1433
518	1543	1430
519	1546	1427
520	1549	1424
521	1552	1421
522	1555	1418
523	1557	1415
524	1560	1412
525	1564	1410
526	1568	1407
527	1570	1404
528	1573	1401
529	1576	1398
530	1579	1395
531	1582	1392
532	1585	1388
533	1587	1385
534	1590	1382
535	1593	1379
536	1596	1376
537	1599	1373
538	1602	1370
539	1605	1367
540	1607	1364
541	1610	1361
542	1613	1358
543	1616	1355
544	1619	1352
545	1622	1349
546	1625	1345
547	1628	1342
548	1630	1339
549	1633	1336
550	1636	1333
551	1639	1330
552	1642	1327
553	1645	1324
554	1647	1321
555	1650	1317
556	1653	1314
557	1656	1311
558	1658	1308
559	1661	1305
560	1664	1302
561	1667	1299
562	1669	1296
563	1672	1292
564	1675	1289
565	1678	1286
566	1680	1283
567	1683	1280
568	1686	1277
569	1690	1275
570	1692	1271
571	1695	1268
572	1698	1265
573	1700	1262
574	1705	1260
575	1712	1260
576	1716	1258
577	1719	1255
578	1721	1251
579	1724	1248
580	1727	1245
581	1731	1243
582	1734	1240
583	1737	1237
584	1739	1234
585	1743	1231
586	1745	1228
587	1748	1225
588	1751	1222
589	1754	1219
590	1757	1215
591	1759	1212
592	1762	1209
593	1765	1206
594	1768	1203
595	1770	1200
596	1773	1197
597	1776	1194
598	1779	1191
599	1781	1187
600	1784	1184
601	1787	1181
602	1789	1178
603	1792	1175
604	1796	1172
605	1799	1169
606	1801	1166
607	1804	1163
608	1807	1160
609	1810	1157
610	1812	1154
611	1815	1151
612	1818	1148
613	1821	1145
614	1824	1142
615	1827	1139
616	1830	1136
617	1832	1132
618	1835	1129
619	1838	1126
620	1841	1123
621	1844	1120
622	1846	1117
623	1849	1114
624	1852	1111
625	1855	1108
626	1857	1105
627	1860	1102
628	1863	1099
629	1866	1096
630	1869	1093
631	1871	1090
632	1874	1086
633	1877	1084
634	1880	1081
635	1883	1078
636	1886	1074
637	1889	1071
638	1891	1068
639	1894	1065
640	1897	1062
641	1900	1059
642	1902	1056
643	1907	1054
644	1911	1052
645	1916	1050
646	1920	1047
647	1924	1045
648	1927	1042
649	1930	1039
650	1933	1036
651	1935	1033
652	1938	1030
653	1941	1027
654	1944	1024
655	1946	1020
656	1949	1017
657	1952	1014
658	1954	1011
659	1957	1008
660	1960	1005
661	1963	1002
662	1966	999
663	1968	996
664	1971	993
665	1974	990
666	1977	987
667	1979	984
668	1982	980
669	1985	977
670	1987	974
671	1990	971
672	1993	968
673	1996	965
674	1999	962
675	2002	959
676	2005	956
677	2007	953
678	2010	950
679	2013	947
680	2016	944
681	2018	941
682	2021	938
683	2024	935
684	2027	932
685	2030	929
686	2033	926
687	2035	923
688	2038	920
689	2041	917
690	2044	914
691	2047	911
692	2049	907
693	2052	905
694	2055	901
695	2058	898
696	2062	896
697	2064	893
698	2067	890
699	2070	887
700	2073	884
701	2075	881
702	2078	878
703	2081	874
704	2083	871
705	2086	868
706	2089	865
707	2092	862
708	2095	859
709	2097	856
710	2100	853
711	2104	851
712	2108	848
713	2114	846
714	2116	843
715	2119	840
716	2121	837
717	2124	834
718	2127	831
719	2130	828
720	2133	825
721	2136	822
722	2139	819
723	2142	816
724	2144	813
725	2147	810
726	2150	807
727	2153	804
728	2156	801
729	2159	798
730	2162	795
731	2164	792
732	2167	789
733	2170	786
734	2173	783
735	2176	780
736	2178	777
737	2181	774
738	2184	771
739	2187	768
740	2190	765
741	2192	762
742	2195	759
743	2198	756
744	2201	753
745	2204	750
746	2207	747
747	2210	744
748	2212	741
749	2215	738
750	2218	735
751	2221	732
752	2223	729
753	2226	726
754	2229	723
755	2232	720
756	2235	717
757	2238	714
758	2240	711
759	2243	708
760	2246	705
761	2249	702
762	2252	699
763	2255	696
764	2257	693
765	2260	690
766	2263	687
767	2266	684
768	2269	681
769	2272	678
770	2275	675
771	2279	673
772	2285	671
773	2292	669
774	2298	667
775	2301	664
776	2304	661
777	2310	659
778	2316	657
779	2320	654
780	2324	651
781	2327	648
782	2329	645
783	2332	642
784	2335	639
785	2338	636
786	2340	633
787	2343	630
788	2346	627
789	2349	624
790	2352	621
791	2354	618
792	2357	615
793	2360	612
794	2363	609
795	2366	606
796	2369	603
797	2371	600
798	2374	597
799	2377	594
800	2380	591
801	2383	588
802	2385	585
803	2388	582
804	2393	579
805	2397	577
806	2399	573
807	2402	570
808	2405	567
809	2408	564
810	2410	561
811	2413	558
812	2416	555
813	2419	552
814	2422	549
815	2425	546
816	2428	543
817	2431	540
818	2433	537
819	2436	534
820	2439	531
821	2442	528
822	2445	525
823	2447	522
824	2450	519
825	2453	516
826	2455	513
827	2458	510
828	2461	507
829	2464	504
830	2466	501
831	2469	498
832	2472	495
833	2475	492
834	2477	489
835	2480	486
836	2483	483
837	2486	480
838	2489	477
839	2491	474
840	2494	471
841	2497	468
842	2500	465
843	2502	462
844	2505	459
845	2511	457
846	2515	454
847	2518	451
848	2521	448
849	2524	445
850	2529	442
851	2531	439
852	2534	436
853	2537	433
854	2540	430
855	2543	427
856	2546	424
857	2548	421
858	2551	418
859	2555	416
860	2558	413
861	2561	410
862	2564	407
863	2567	404
864	2570	401
865	2573	398
866	2576	395
867	2578	392
868	2581	389
869	2584	386
870	2587	383
871	2590	380
872	2592	377
873	2596	374
874	2599	371
875	2601	368
876	2604	365
877	2607	362
878	2610	359
879	2613	356
880	2616	353
881	2619	350
882	2622	347
883	2624	344
884	2627	341
885	2630	338
886	2633	335
887	2635	332
888	2638	329
889	2642	326
890	2645	323
891	2648	320
892	2651	317
893	2654	314
894	2657	311
895	2659	308
896	2662	305
897	2665	302
898	2668	299
899	2671	296
900	2674	293
901	2677	290
902	2680	287
903	2682	284
904	2686	281
905	2688	278
906	2691	276
907	2694	273
908	2697	270
909	2700	267
910	2703	264
911	2708	261
912	2712	258
913	2719	255
914	2723	252
915	2725	249
916	2728	246
917	2731	243
918	2734	241
919	2737	238
920	2740	235
921	2743	232
922	2745	229
923	2748	226
924	2751	223
925	2754	220
926	2757	217
927	2760	214
928	2762	211
929	2765	208
930	2768	205
931	2771	202
932	2774	199
933	2776	196
934	2779	193
935	2782	190
936	2785	187
937	2788	184
938	2790	181
939	2793	178
940	2796	175
941	2799	172
942	2802	169
943	2805	166
944	2808	163
945	2811	160
946	2813	157
947	2816	154
948	2819	151
949	2822	148
950	2825	145
951	2828	142
952	2831	139
953	2834	136
954	2837	133
955	2839	130
956	2842	127
957	2845	124
958	2848	121
959	2851	118
960	2853	115
961	2856	112
962	2859	109
963	2862	106
964	2865	103
965	2868	100
966	2871	97
967	2875	95
968	2878	92
969	2881	89
970	2883	86
971	2886	83
972	2889	80
973	2891	77
974	2894	74
975	2897	71
976	2899	68
977	2905	65
978	2908	62
979	2911	59
980	2914	56
981	2917	53
982	2920	50
983	2922	47
984	2925	44
985	2928	41
986	2931	38
987	2934	35
988	2937	32
989	2939	29
990	2942	26
991	2945	23
992	2947	20
993	2950	17
994	2953	14
995	2956	11
996	2959	8
997	2961	5
998	2964	2
999	2967	0
