iter	Logloss
0	0.6915029882
1	0.6903273095
2	0.6886851095
3	0.6873604798
4	0.68572072
5	0.6840173513
6	0.6825150304
7	0.6813217821
8	0.6799197289
9	0.6788087695
10	0.677963259
11	0.6765419344
12	0.6750245484
13	0.6738957042
14	0.6728990031
15	0.6714799424
16	0.669955027
17	0.668479321
18	0.6674524647
19	0.6666035959
20	0.6655078283
21	0.6642376726
22	0.6633012006
23	0.662021303
24	0.6611771001
25	0.6602566215
26	0.6591394126
27	0.6581004472
28	0.6570351317
29	0.6559551977
30	0.6547457224
31	0.6535321521
32	0.6525923322
33	0.6518468238
34	0.6508433799
35	0.6501797676
36	0.649478255
37	0.648576634
38	0.647911158
39	0.6466334297
40	0.6457478658
41	0.6447125054
42	0.6439281798
43	0.6429290159
44	0.6422411064
45	0.6409383119
46	0.6402706144
47	0.6388261989
48	0.6376031055
49	0.6364508145
50	0.6356026815
51	0.6347575301
52	0.634040126
53	0.6334326015
54	0.6324072098
55	0.6313702645
56	0.6306264649
57	0.6300181315
58	0.6293001899
59	0.6285914372
60	0.6277390306
61	0.6268888328
62	0.6261919535
63	0.625236774
64	0.6245756744
65	0.6238114808
66	0.6229437931
67	0.6224303304
68	0.621496144
69	0.620654941
70	0.6199126727
71	0.6192805694
72	0.6188169221
73	0.6181058745
74	0.6173840783
75	0.6168484995
76	0.6161872898
77	0.6156077279
78	0.6149440892
79	0.6143678807
80	0.6135664031
81	0.6127619944
82	0.6122215359
83	0.6116246148
84	0.6107506362
85	0.610150856
86	0.6096713611
87	0.6090375753
88	0.6084121084
89	0.6076469448
90	0.6068132927
91	0.6063127308
92	0.6060075775
93	0.6052482702
94	0.6046076251
95	0.6040210154
96	0.6035136911
97	0.6028511052
98	0.6023202842
99	0.6012498551
100	0.6006189422
101	0.5999659416
102	0.5993737607
103	0.5987906551
104	0.5981920527
105	0.5974367977
106	0.5969627969
107	0.5964745788
108	0.5955669666
109	0.5948802066
110	0.594325466
111	0.5937969862
112	0.5931464322
113	0.5926561128
114	0.5919703966
115	0.5912930261
116	0.5908207763
117	0.5904368553
118	0.589865418
119	0.5891154975
120	0.5888265533
121	0.5884757493
122	0.5879513044
123	0.5875392446
124	0.5870712881
125	0.5863095208
126	0.5858384201
127	0.5852831835
128	0.5849766607
129	0.584175259
130	0.5838959169
131	0.5834658004
132	0.5830908522
133	0.5825658293
134	0.5819966704
135	0.5815410194
136	0.5810055049
137	0.5803865302
138	0.5798327211
139	0.5794183994
140	0.5789006843
141	0.5783186616
142	0.577897152
143	0.5773361632
144	0.5767873698
145	0.5762782459
146	0.575706531
147	0.5753639672
148	0.5749226987
149	0.5744834629
150	0.5739301143
151	0.5736268249
152	0.5730514008
153	0.5726341316
154	0.572050796
155	0.5714962503
156	0.5711657333
157	0.5706313891
158	0.570221139
159	0.5698776278
160	0.569443102
161	0.5690878413
162	0.5686110726
163	0.5680523521
164	0.5675873605
165	0.5672896731
166	0.5668674646
167	0.5665801004
168	0.5663688152
169	0.5660315161
170	0.5654891218
171	0.5648146179
172	0.5644846183
173	0.5639378699
174	0.5636287497
175	0.5632466899
176	0.5624679475
177	0.5621798469
178	0.5617816199
179	0.5613701156
180	0.5609793771
181	0.5606526684
182	0.5599021737
183	0.5593514204
184	0.5587742168
185	0.5581795976
186	0.5575461125
187	0.5570004765
188	0.5568294417
189	0.5564012327
190	0.5559629238
191	0.55555577
192	0.5549534406
193	0.5545740007
194	0.5541158329
195	0.5536988884
196	0.5534818863
197	0.5531661879
198	0.5528609305
199	0.5524521434
200	0.551860633
201	0.5515582749
202	0.5513387632
203	0.5510945173
204	0.5509058606
205	0.5504493781
206	0.5498738684
207	0.5492705171
208	0.548690387
209	0.5484344584
210	0.5481052769
211	0.5477006368
212	0.5473281753
213	0.5469299935
214	0.5463753937
215	0.5459345063
216	0.5455521457
217	0.5451696849
218	0.5446486582
219	0.5441690125
220	0.5436558192
221	0.5432573426
222	0.5426876469
223	0.5424866128
224	0.5421383687
225	0.5417453249
226	0.5414050726
227	0.5410948851
228	0.5407060085
229	0.5402201705
230	0.5397005456
231	0.5394426187
232	0.5391598772
233	0.5387811562
234	0.5384031152
235	0.5380336847
236	0.5378160681
237	0.5374384081
238	0.5371690469
239	0.5370051872
240	0.5366332589
241	0.5360179231
242	0.5355193047
243	0.5350272761
244	0.5344514917
245	0.5339763565
246	0.5335862892
247	0.5333156613
248	0.5329916737
249	0.5325570718
250	0.5321238301
251	0.5317345648
252	0.5311195416
253	0.5308190647
254	0.5304823878
255	0.5298314205
256	0.5293668531
257	0.5289730124
258	0.5283713615
259	0.527812306
260	0.5275235683
261	0.5272245532
262	0.5267753995
263	0.5264718744
264	0.5258427934
265	0.5255162013
266	0.5252008355
267	0.5249778677
268	0.5246374043
269	0.5241593573
270	0.5237585591
271	0.5235209903
272	0.5232609321
273	0.5229488731
274	0.5226267931
275	0.5223223426
276	0.5220856409
277	0.5217374506
278	0.5214100523
279	0.5210719819
280	0.5208709809
281	0.520567133
282	0.5201548462
283	0.519854765
284	0.519414734
285	0.5191615808
286	0.5188108803
287	0.5184161016
288	0.5181948543
289	0.517947196
290	0.5176448381
291	0.5174456844
292	0.5172289645
293	0.5168510082
294	0.5165039616
295	0.5160932911
296	0.5156980421
297	0.5154965992
298	0.5150749615
299	0.5148266871
300	0.5143303841
301	0.5139959677
302	0.5137919016
303	0.5135183358
304	0.5131013324
305	0.5128106021
306	0.5126725397
307	0.5124377518
308	0.5120878294
309	0.5115897492
310	0.51130908
311	0.5110426648
312	0.5106428155
313	0.5102998421
314	0.5100612652
315	0.509661726
316	0.5092392898
317	0.5088863468
318	0.5086322229
319	0.508347679
320	0.5081437222
321	0.5078705976
322	0.5075412126
323	0.5071829609
324	0.5067706407
325	0.5062212072
326	0.5060042356
327	0.5057177671
328	0.5054670231
329	0.5052233613
330	0.5050409569
331	0.504840859
332	0.5045024414
333	0.5041214253
334	0.5036388781
335	0.5030634339
336	0.5027745482
337	0.5023855764
338	0.5019342949
339	0.5015583005
340	0.5012991658
341	0.5011347359
342	0.5008900584
343	0.5004853502
344	0.4999409341
345	0.4996526765
346	0.4995144401
347	0.4991675366
348	0.4989895863
349	0.4986031018
350	0.4982746417
351	0.4980030985
352	0.4978041474
353	0.4976074895
354	0.4973262512
355	0.4969805966
356	0.4965743681
357	0.4962495175
358	0.4958587123
359	0.4956072805
360	0.4953978082
361	0.4951229284
362	0.4949014203
363	0.4945891432
364	0.4942664598
365	0.4938874162
366	0.4936311973
367	0.4932814277
368	0.4930221636
369	0.4926375099
370	0.4924039615
371	0.4920987876
372	0.4917728104
373	0.4915147434
374	0.4913197568
375	0.4908187
376	0.4904105964
377	0.4900922075
378	0.4898432205
379	0.489706228
380	0.4893288361
381	0.4888968746
382	0.4885911542
383	0.4883103833
384	0.4879781566
385	0.4877395037
386	0.4873552308
387	0.4871326226
388	0.4869896009
389	0.4867652166
390	0.4864410862
391	0.486052002
392	0.4857670152
393	0.4856143335
394	0.4853174567
395	0.4849239995
